Year|Paper ID|Research Object|Evaluation Method
2017|Bang2017|Architecture Design Method|Questionnaire,Controlled Experiment,Technical Experiment
2017|Bhat2017|Architecture Analysis Method|Case Study
2017|Butting2017|Architecture Description Language,Architecture Analysis Method|Technical Experiment,Verification
2017|Calinescu2017|Architecture Design Method|Technical Experiment
2017|Camara2017|Architecture Design Method|Technical Experiment
2017|Czepa2017|Architecture Description Language|Controlled Experiment
2017|Digkas2017|Technical Debt|Data Science
2017|Filho2017|Architecture Analysis Method|Case Study
2017|Gesvindr2017|Architecture Analysis Method|Case Study
2017|Giaimo2017a|Architecture Design Method|Motivating Example
2017|Gorton2017|Architecture Decision Making|Technical Experiment,Benchmark
2017|Hammad2017|Architecture Extraction|Technical Experiment
2017|Haselboeck2017|Architecture Decision Making|Field Experiment
2017|Hassan2017|Architecture Design Method|Motivating Example
2017|Klock2017|Architecture Optimization Method|Case Study
2017|Kugele2017|Architecture Pattern|Grounded Theory
2017|Maartensson2017|Architectural Aspects|Interview
2017|Muccini2017|Architecture Description Language|Motivating Example
2017|Nguyen2017|Architecture Analysis Method|Motivating Example
2017|Paterson2017|Architecture Analysis Method|Case Study
2017|Rostami2017|Architecture Analysis Method|Technical Experiment
2017|Roy2017|Architecture Description|Technical Experiment
2017|Roy2017|Reference Architecture|Motivating Example,Argumentation
2017|Santos2017|Architecture Pattern|Case Study
2017|Sharaf2017|Architecture Design Method|Case Study
2017|Xu2017|Architecture Decision Making|Argumentation
2017|Yang2017|Architectural Assumptions|Questionnaire,Interview,Focus Group
2017|Zalewski2017|Architecture Decision Making|Focus Group
2017|Zheng2017|Architecture Design Method|Technical Experiment
2018|Alkhabbas2018|Architecture Description|Technical Experiment
2018|Alshuqayran2018|Architecture Extraction|Technical Experiment
2018|Antonino2018|Architecture Design Method|Motivating Example
2018|Apel2018|Architecture Pattern|Technical Experiment
2018|Arcaini2018|Architecture Description Language|Motivating Example
2018|Arcelli2018|Architecture Optimization Method|Technical Experiment
2018|Artac2018|Architecture Description Language|Case Study,Technical Experiment
2018|Avritzer2018|Architecture Analysis Method|Case Study
2018|Bhat2018|Architecture Decision Making|Data Science
2018|Buchgeher2018|Architecture Extraction|Case Study
2018|Chang2018|Reference Architecture|Technical Experiment
2018|Cortellessa2018|Architecture Analysis Method|Motivating Example
2018|Eismann2018|Architecture Optimization Method|Technical Experiment
2018|Francesco2018|Architecture Evolution|Questionnaire,Interview
2018|Garcia2018|Reference Architecture|Interview,Field Experiment
2018|Gupta2018|Architecture Description|Case Study
2018|Heijenk2018|Architecture Decision Making|Interview
2018|Koziolek2018|Reference Architecture|Technical Experiment
2018|Kramer2018|Reference Architecture|Case Study
2018|Kugele2018|Architecture Description|Technical Experiment
2018|Kugele2018|Architecture Design Method|Motivating Example
2018|Le2018|Architecture Evolution|Data Science
2018|Liu2018|Architecture Description|Case Study
2018|Martini2018|Architecture Pattern|Case Study,Questionnaire
2018|Oquendo2018|Architecture Description Language|Case Study
2018|Power2018|Architecture Decision Making|Focus Group
2018|Schneider2018|Architecture Evolution|Case Study
2018|Shahbazian2018|Architecture Decision Making|Technical Experiment
2018|Soliman2018|Architecture Decision Making|Controlled Experiment,Technical Experiment
2018|Spray2018|Reference Architecture|Case Study
2018|Szvetits2018|Architecture Decision Making|Data Science
2018|Tenbergen2018|Architectural Aspects|Case Study
2018|Tuma2018|Architecture Analysis Method|Controlled Experiment
2018|Weyns2018|Architecture Optimization Method|Case Study
2018|Yasaweerasinghelage2018|Architectural Assumptions|Case Study
2019|Alam2019|Architecture Decision Making|Case Study
2019|Arcelli2019|Architecture Analysis Method,Architecture Design Method|Case Study
2019|Castellanos2019|Architecture Design Method|Questionnaire
2019|Dajsuren2019|Architecture Analysis Method|Motivating Example
2019|Eismann2019|Architecture Analysis Method|Technical Experiment
2019|Gerking2019|Architecture Analysis Method|Technical Experiment
2019|Gonzalez2019|Architectural Aspects|Data Science
2019|Jahic2019a|Architecture Analysis Method|Technical Experiment
2019|Jahic2019|Architecture Design Method|Technical Experiment
2019|Maartensson2019|Architecture Decision Making|Focus Group
2019|Malakuti2019|Architecture Pattern|Case Study
2019|Malki2019|Architecture Decision Making|Grounded Theory
2019|Mattos2019|Architecture Optimization Method|Field Experiment
2019|Mayrhofer2019|Reference Architecture|Motivating Example,Argumentation
2019|Musil2019|Architecture Analysis Method|Case Study
2019|Ntentos2019|Architecture Pattern|Grounded Theory
2019|Nunes2019|Architectural Aspects|Case Study
2019|Pigazzini2019a|Architecture Analysis Method|Case Study
2019|Pigazzini2019a|Architecture Extraction|Case Study
2019|Power2019|Architecture Decision Making|Focus Group
2019|Rademacher2019|Architecture Design Method|Case Study
2019|Sanctis2019|Architecture Design Method|Case Study
2019|Seifermann2019|Architecture Analysis Method|Technical Experiment
2019|Seifermann2019|Architecture Description Language|None
2019|Sion2019|Architectural Aspects|Motivating Example
2019|Soezer2019|Architecture Extraction|Benchmark
2019|Telschig2019|Architectural Aspects|Case Study
2019|Tian2019|Architecture Pattern|Grounded Theory
2019|Tuma2019|Architecture Analysis Method|Case Study
2019|Ullah2019|Architecture Optimization Method|Technical Experiment
2019|Verdecchia2019|Architecture Design Method|None
2019|Waegemann2019|Architecture Optimization Method|Case Study
2019|Weber2019|Reference Architecture|Argumentation,Technical Experiment
2019|Wohlrab2019a|Architecture Evolution|Interview
2019|Wohlrab2019|Architectural Assumptions|None
2019|Wohlrab2019|Architecture Evolution|Questionnaire
2019|Yasaweerasinghelage2019|Architecture Optimization Method|Case Study
2019|Zhang2019|Architecture Pattern|Interview
2020|Alkhabbas2020|Architecture Design Method|Technical Experiment
2020|Almeida2020|Architecture Optimization Method|Case Study
2020|Baresi2020|Reference Architecture|Technical Experiment
2020|Brito2020|Architecture Design Method|Controlled Experiment
2020|Bucaioni2020|Architectural Aspects|Focus Group
2020|Bucaioni2020|Reference Architecture|Focus Group
2020|Camara2020|Architecture Optimization Method|Technical Experiment
2020|Caporuscio2020a|Architecture Design Method|Technical Experiment
2020|Caporuscio2020b|Architecture Evolution|Case Study
2020|Cardoso2020|Architecture Optimization Method|Benchmark
2020|Chondamrongkul2020|Architecture Description Language|Benchmark
2020|Dias2020|Architecture Description Language|Technical Experiment
2020|Giaimo2020|Architecture Description|Technical Experiment
2020|Giaimo2020|Architecture Design Method|Argumentation
2020|Islam2020|Reference Architecture|Case Study
2020|Jasser2020|Architecture Analysis Method|Case Study
2020|Koziolek2020|Architectural Aspects|Technical Experiment
2020|Kugele2020|Architecture Pattern|Argumentation,Technical Experiment
2020|Matias2020|Architecture Design Method|Case Study,Questionnaire
2020|Mazkatli2020|Architecture Evolution|Case Study
2020|Mendonca2020|Architecture Analysis Method|Technical Experiment
2020|Mendonca2020|Architecture Pattern|Technical Experiment
2020|Mizutani2020|Reference Architecture|Controlled Experiment,Argumentation
2020|Moghaddam2020|Architecture Optimization Method|Case Study
2020|Ntentos2020|Architecture Analysis Method|Grounded Theory
2020|Sanctis2020|Reference Architecture|Technical Experiment
2020|Santos2020|Architecture Design Method|Technical Experiment
2020|Selmadji2020|Architecture Extraction|Technical Experiment
2020|Tran2020|Architecture Design Method|Case Study
2020|Verdecchia2020|Technical Debt|Grounded Theory
2020|Wang2020|Architecture Description Language|Controlled Experiment,Technical Experiment
2020|Werle2020|Architecture Analysis Method|Case Study
2020|Werle2020|Architecture Design Method|Case Study
2020|Zhang2020|Architecture Design Method|Case Study
2020|Zhao2020|Architectural Aspects|Case Study
2020|Zhao2020|Architecture Analysis Method|Case Study
2021|Bonfanti2021|Architecture Design Method|Motivating Example
2021|Bucaioni2021|Architecture Design Method|Interview
2021|Cadavid2021|Architecture Decision Making|Interview,Focus Group
2021|Camara2021|Architecture Optimization Method|Case Study
2021|Caporuscio2021|Architecture Optimization Method|Technical Experiment
2021|Garcia2021|Architecture Analysis Method|Case Study
2021|Garcia2021|Architecture Extraction|None
2021|Genfer2021|Architectural Aspects|None
2021|Genfer2021|Architecture Analysis Method|Case Study
2021|Keim2021|Architecture Analysis Method|Case Study
2021|Knoche2021|Architecture Evolution|Questionnaire,Technical Experiment
2021|Koziolek2021|Architecture Optimization Method|Technical Experiment
2021|Le2021|Technical Debt|Data Science
2021|Lo2021|Reference Architecture|Data Science
2021|Monschein2021|Architecture Evolution|Technical Experiment
2021|Ntentos2021|Architecture Analysis Method|Technical Experiment
2021|Ntentos2021|Architecture Optimization Method|None
2021|Olsson2021|Architecture Analysis Method|Technical Experiment
2021|Pinciroli2021|Architecture Analysis Method|Motivating Example
2021|Pinciroli2021|Architecture Pattern|Motivating Example
2021|Raatikainen2021|Architectural Aspects,Architecture Decision Making|Interview
2021|Shabelnyk2021|Reference Architecture|Case Study
2021|Shokri2021|Architectural Aspects|Technical Experiment
2021|Shokri2021|Architecture Analysis Method|Technical Experiment
2021|Sinkala2021|Architecture Optimization Method|Case Study
2021|Sodhi2021|Reference Architecture|None
2021|Soliman2021a|Architecture Description|Technical Experiment
2021|Soliman2021|Architecture Design Decisions|Case Study
2021|Woods2021|Architecture Decision Making|Questionnaire
2021|Xu2021|Architecture Decision Making|Interview
