Year|Paper ID|Evaluation Method|Property
2017|Bang2017|Questionnaire,Controlled Experiment|Effectiveness,Efficiency,Satisfaction
2017|Bang2017|Technical Experiment|Performance efficiency,Functional Suitability
2017|Bhat2017|Case Study|Accuracy
2017|Butting2017|Technical Experiment|Functional Suitability,Performance efficiency
2017|Butting2017|Verification|Functional Suitability
2017|Calinescu2017|Technical Experiment|Performance efficiency,Robustness
2017|Camara2017|Technical Experiment|Performance efficiency,Functional Suitability
2017|Czepa2017|Controlled Experiment|Usability
2017|Digkas2017|Data Science|Maintainability
2017|Filho2017|Case Study|Satisfaction,Functional Suitability
2017|Gesvindr2017|Case Study|Reliability
2017|Giaimo2017a|Motivating Example|Context Coverage
2017|Gorton2017|Benchmark|Performance efficiency
2017|Gorton2017|Technical Experiment|Accuracy
2017|Hammad2017|Technical Experiment|Performance efficiency,Functional Suitability
2017|Haselboeck2017|Field Experiment|Satisfaction,Context coverage,Effectiveness
2017|Hassan2017|Motivating Example|Portability,Functional Suitability
2017|Klock2017|Case Study|Effectiveness,Efficiency
2017|Kugele2017|Grounded Theory|Satisfaction,Context coverage
2017|Maartensson2017|Interview|Usability
2017|Muccini2017|Motivating Example|None
2017|Nguyen2017|Motivating Example|Functional Suitability
2017|Paterson2017|Case Study|Accuracy
2017|Rostami2017|Technical Experiment|Effectiveness,Satisfaction
2017|Roy2017|Argumentation|Usability,Security,Portability
2017|Roy2017|Motivating Example|Functional Suitability,Performance efficiency
2017|Roy2017|Technical Experiment|Usability,Security,Maintainability,Performance efficiency,Functional Suitability
2017|Santos2017|Case Study|Security
2017|Sharaf2017|Case Study|Functional Suitability
2017|Xu2017|Argumentation|Functional Suitability
2017|Yang2017|Questionnaire,Interview,Focus Group|Satisfaction
2017|Zalewski2017|Focus Group|Effectiveness
2017|Zheng2017|Technical Experiment|Usability,Functional Suitability,Performance efficiency
2018|Alkhabbas2018|Technical Experiment|Functional Suitability,Performance efficiency
2018|Alshuqayran2018|Technical Experiment|Effectiveness,Functional Suitability
2018|Antonino2018|Motivating Example|Functional Suitability
2018|Apel2018|Technical Experiment|Performance efficiency,Usability,Maintainability,Portability
2018|Arcaini2018|Motivating Example|Functional Suitability
2018|Arcelli2018|Technical Experiment|Functional Suitability,Performance efficiency
2018|Artac2018|Case Study|Effectiveness,Satisfaction,Functional Suitability,Performance efficiency
2018|Artac2018|Technical Experiment|Functional Suitability,Performance efficiency
2018|Avritzer2018|Case Study|Performance efficiency
2018|Bhat2018|Data Science|Accuracy
2018|Buchgeher2018|Case Study|Satisfaction,Performance efficiency
2018|Chang2018|Technical Experiment|Functional Suitability
2018|Cortellessa2018|Motivating Example|Functional Suitability
2018|Eismann2018|Technical Experiment|Effectiveness,Functional Suitability,Accuracy
2018|Francesco2018|Questionnaire,Interview|Effectiveness,Satisfaction
2018|Garcia2018|Field Experiment|Effectiveness,Functional Suitability,Compatibility,Reliability,Maintainability
2018|Garcia2018|Interview|Compatibility
2018|Gupta2018|Case Study|Functional Suitability
2018|Heijenk2018|Interview|Functional Suitability
2018|Koziolek2018|Technical Experiment|Performance efficiency
2018|Kramer2018|Case Study|Performance efficiency,Security,Functional Suitability
2018|Kugele2018|Motivating Example|Satisfaction,Effectiveness
2018|Kugele2018|Technical Experiment|Freedom from Risk,Performance efficiency,Maintainability,Functional Suitability
2018|Le2018|Data Science|Maintainability
2018|Liu2018|Case Study|Context coverage
2018|Martini2018|Case Study|Maintainability
2018|Martini2018|Questionnaire|Satisfaction,Effectiveness
2018|Oquendo2018|Case Study|Satisfaction,Functional Suitability
2018|Power2018|Focus Group|Satisfaction,Context coverage,Effectiveness
2018|Schneider2018|Case Study|Functional Suitability
2018|Shahbazian2018|Technical Experiment|Effectiveness,Functional Suitability,Accuracy
2018|Soliman2018|Controlled Experiment|Effectiveness
2018|Soliman2018|Technical Experiment|Accuracy
2018|Spray2018|Case Study|Functional Suitability,Maintainability
2018|Szvetits2018|Data Science|Effectiveness
2018|Tenbergen2018|Case Study|Context coverage
2018|Tuma2018|Controlled Experiment|Effectiveness
2018|Weyns2018|Case Study|Functional Suitability,Performance efficiency,Portability
2018|Yasaweerasinghelage2018|Case Study|Performance efficiency
2019|Alam2019|Case Study|Accuracy
2019|Arcelli2019|Case Study|Effectiveness
2019|Castellanos2019|Questionnaire|Satisfaction,Efficiency
2019|Dajsuren2019|Motivating Example|Functional Suitability
2019|Eismann2019|Technical Experiment|Performance efficiency
2019|Gerking2019|Technical Experiment|Accuracy
2019|Gonzalez2019|Data Science|Security
2019|Jahic2019a|Technical Experiment|Functional Suitability
2019|Jahic2019|Technical Experiment|Compatibility
2019|Maartensson2019|Focus Group|Accuracy
2019|Malakuti2019|Case Study|Functional Suitability
2019|Malki2019|Grounded Theory|Satisfaction
2019|Mattos2019|Field Experiment|Effectiveness
2019|Mayrhofer2019|Argumentation|Portability
2019|Mayrhofer2019|Motivating Example|Portability
2019|Musil2019|Case Study|Satisfaction,Functional Suitability
2019|Ntentos2019|Grounded Theory|Accuracy,Limit of detection
2019|Nunes2019|Case Study|Functional Suitability
2019|Pigazzini2019a|Case Study|Effectiveness
2019|Power2019|Focus Group|Functional Suitability
2019|Power2019|Questionnaire|Functional Suitability
2019|Rademacher2019|Case Study|Effectiveness,Functional Suitability,Performance efficiency
2019|Sanctis2019|Case Study|Performance efficiency,Functional Suitability
2019|Seifermann2019|None|None
2019|Seifermann2019|Technical Experiment|Accuracy
2019|Sion2019|Motivating Example|Functional Suitability
2019|Soezer2019|Benchmark|Effectiveness,Performance efficiency,Accuracy
2019|Telschig2019|Case Study|Functional Suitability,Performance efficiency
2019|Tian2019|Grounded Theory|None
2019|Tuma2019|Case Study|Functional Suitability
2019|Ullah2019|Technical Experiment|Performance efficiency,Reliability,Accuracy
2019|Verdecchia2019|None|None
2019|Waegemann2019|Case Study|Functional Suitability
2019|Weber2019|Argumentation|Context coverage,Functional Suitability,Performance efficiency,Security,Reliability
2019|Weber2019|Technical Experiment|Performance efficiency
2019|Wohlrab2019a|Interview|Maintainability
2019|Wohlrab2019|Questionnaire|Effectiveness,Satisfaction,Functional Suitability
2019|Yasaweerasinghelage2019|Case Study|Functional Suitability
2019|Zhang2019|Interview|Satisfaction
2020|Alkhabbas2020|Technical Experiment|Functional Suitability
2020|Almeida2020|Case Study|Satisfaction,Functional Suitability
2020|Baresi2020|Technical Experiment|Performance efficiency
2020|Brito2020|Controlled Experiment|Efficiency,Satisfaction,Usability
2020|Bucaioni2020|Focus Group|Functional Suitability
2020|Camara2020|Technical Experiment|Effectiveness,Performance efficiency
2020|Caporuscio2020a|Technical Experiment|Functional Suitability,Performance efficiency
2020|Caporuscio2020b|Case Study|Effectiveness,Performance efficiency
2020|Cardoso2020|Benchmark|Performance efficiency
2020|Chondamrongkul2020|Benchmark|Performance efficiency,Accuracy
2020|Dias2020|Technical Experiment|Performance efficiency
2020|Giaimo2020|Argumentation|Functional Suitability
2020|Giaimo2020|Technical Experiment|Functional Suitability
2020|Islam2020|Case Study|Functional Suitability
2020|Jasser2020|Case Study|Functional Suitability,Accuracy
2020|Koziolek2020|Technical Experiment|Performance efficiency,Reliability,Security,Maintainability,Usability
2020|Kugele2020|Argumentation|Functional Suitability
2020|Kugele2020|Technical Experiment|Accuracy
2020|Matias2020|Case Study|Functional Suitability
2020|Matias2020|Questionnaire|Satisfaction,Effectiveness
2020|Mazkatli2020|Case Study|Efficiency,Accuracy
2020|Mendonca2020|Technical Experiment|Functional Suitability
2020|Mizutani2020|Argumentation|Functional Suitability
2020|Mizutani2020|Controlled Experiment|Satisfaction,Efficiency,Context coverage
2020|Moghaddam2020|Case Study|Performance efficiency
2020|Ntentos2020|Grounded Theory|Accuracy
2020|Sanctis2020|Technical Experiment|Performance efficiency
2020|Santos2020|Technical Experiment|Functional Suitability
2020|Selmadji2020|Technical Experiment|Accuracy
2020|Tran2020|Case Study|Effectiveness,Functional Suitability
2020|Verdecchia2020|Grounded Theory|Functional Suitability,Maintainability
2020|Wang2020|Controlled Experiment|Usability
2020|Wang2020|Technical Experiment|Performance efficiency,Functional Suitability
2020|Werle2020|Case Study|Accuracy
2020|Zhang2020|Case Study|Accuracy
2020|Zhao2020|Case Study|Performance efficiency
2021|Bonfanti2021|Motivating Example|Functional Suitability
2021|Bucaioni2021|Interview|Functional Suitability
2021|Cadavid2021|Focus Group|Satisfaction,Freedom from Risk,Effectiveness
2021|Cadavid2021|Interview|Satisfaction,Effectiveness
2021|Camara2021|Case Study|Functional Suitability
2021|Caporuscio2021|Technical Experiment|Performance efficiency,Accuracy
2021|Garcia2021|Case Study|Effectiveness,Usability
2021|Genfer2021|Case Study|Effectiveness
2021|Keim2021|Case Study|Effectiveness,Functional Suitability,Accuracy
2021|Knoche2021|Questionnaire|Satisfaction,Efficiency
2021|Knoche2021|Technical Experiment|Context coverage,Performance efficiency
2021|Koziolek2021|Technical Experiment|Effectiveness,Efficiency
2021|Le2021|Data Science|Accuracy
2021|Lo2021|Data Science|Functional Suitability
2021|Monschein2021|Technical Experiment|Efficiency,Performance efficiency,Accuracy
2021|Ntentos2021|Technical Experiment|Functional Suitability
2021|Olsson2021|Technical Experiment|Accuracy
2021|Pinciroli2021|Motivating Example|Performance efficiency
2021|Raatikainen2021|Interview|Satisfaction,Context coverage,Satisfaction
2021|Shabelnyk2021|Case Study|Satisfaction,Context coverage,Performance efficiency
2021|Shokri2021|Technical Experiment|Functional Suitability,Accuracy
2021|Sinkala2021|Case Study|Functional Suitability,Accuracy
2021|Sodhi2021|None|None
2021|Soliman2021a|Technical Experiment|Functional Suitability
2021|Soliman2021|Case Study|Effectiveness
2021|Woods2021|Questionnaire|Context coverage
2021|Xu2021|Interview|Satisfaction,Context coverage
